func_addr,func_name,string_addr,string
219e:06df,FUN_219e_06df,2000:2f51,"Sunday"
219e:074c,FUN_219e_074c,1000:0001,"MONSTERS.DAT"
219e:074c,FUN_219e_074c,2000:2f51,"Sunday"
219e:07ae,FUN_219e_07ae,1000:0001,"MONSTERS.DAT"
219e:07ae,FUN_219e_07ae,2000:2f51,"Sunday"
219e:07db,FUN_219e_07db,1000:0001,"MONSTERS.DAT"
219e:07db,FUN_219e_07db,2000:2f51,"Sunday"
219e:082f,FUN_219e_082f,1000:0001,"MONSTERS.DAT"
219e:082f,FUN_219e_082f,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:082f,FUN_219e_082f,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:082f,FUN_219e_082f,2000:2f51,"Sunday"
219e:09dc,FUN_219e_09dc,1000:0001,"MONSTERS.DAT"
219e:09dc,FUN_219e_09dc,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:09dc,FUN_219e_09dc,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:09dc,FUN_219e_09dc,2000:2f51,"Sunday"
219e:0a88,FUN_219e_0a88,1000:0001,"MONSTERS.DAT"
219e:0a88,FUN_219e_0a88,2000:2f51,"Sunday"
219e:0ab2,FUN_219e_0ab2,1000:0001,"MONSTERS.DAT"
219e:0ab2,FUN_219e_0ab2,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:0ab2,FUN_219e_0ab2,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:0ab2,FUN_219e_0ab2,2000:2f51,"Sunday"
219e:0af1,FUN_219e_0af1,1000:0001,"MONSTERS.DAT"
219e:0af1,FUN_219e_0af1,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:0af1,FUN_219e_0af1,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:0af1,FUN_219e_0af1,2000:2f51,"Sunday"
219e:0b7f,FUN_219e_0b7f,1000:0001,"MONSTERS.DAT"
219e:0b7f,FUN_219e_0b7f,2000:2f51,"Sunday"
219e:0be7,FUN_219e_0be7,1000:0001,"MONSTERS.DAT"
219e:0be7,FUN_219e_0be7,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:0be7,FUN_219e_0be7,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:0be7,FUN_219e_0be7,2000:2f51,"Sunday"
219e:0c2c,FUN_219e_0c2c,1000:0001,"MONSTERS.DAT"
219e:0c2c,FUN_219e_0c2c,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:0c2c,FUN_219e_0c2c,2000:0e7f,".CMF"
219e:0c2c,FUN_219e_0c2c,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:0c2c,FUN_219e_0c2c,2000:2f51,"Sunday"
219e:0c2c,FUN_219e_0c2c,219e:0c45," .;T"
219e:0ca6,FUN_219e_0ca6,1000:0001,"MONSTERS.DAT"
219e:0ca6,FUN_219e_0ca6,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:0ca6,FUN_219e_0ca6,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:0ca6,FUN_219e_0ca6,2000:2f51,"Sunday"
219e:0dba,FUN_219e_0dba,2000:2fc4,"PC3270"
219e:104f,FUN_219e_104f,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:104f,FUN_219e_104f,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:10be,FUN_219e_10be,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:10be,FUN_219e_10be,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:1149,FUN_219e_1149,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:1149,FUN_219e_1149,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:118c,FUN_219e_118c,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:118c,FUN_219e_118c,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:11f5,FUN_219e_11f5,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:11f5,FUN_219e_11f5,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:132b,FUN_219e_132b,2000:2f8d,"Saturday"
219e:1334,FUN_219e_1334,1000:0001,"MONSTERS.DAT"
219e:1334,FUN_219e_1334,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:1334,FUN_219e_1334,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:1334,FUN_219e_1334,2000:2f51,"Sunday"
219e:1418,FUN_219e_1418,219e:1459,";F t"
219e:14c0,FUN_219e_14c0,1000:0001,"MONSTERS.DAT"
219e:14c0,FUN_219e_14c0,2000:2f51,"Sunday"
